coffee_name,April,August,December,February,January,July,June,March,May,November,October,September
Americano,1001.9399999999999,851.74,700.9200000000001,3037.32,649.0,858.12,390.88,3692.7200000000003,1348.8000000000002,649.0,1142.24,739.58
Americano with Milk,1407.74,2010.2400000000002,1759.02,2623.1,1604.72,1863.8000000000002,2268.12,2758.72,1908.28,1604.72,2530.52,2930.1400000000003
Cappuccino,1659.44,1115.88,1358.8799999999999,1859.52,965.52,1079.64,1735.12,2318.18,2078.44,929.76,1573.4399999999998,1360.32
Cocoa,232.82,361.02,750.9599999999999,2002.56,500.64,300.28,189.88,1305.0,340.76,1251.6,1144.32,298.32
Cortado,548.48,920.8,804.76,259.6,571.12,322.28,530.48,921.12,474.64000000000004,337.48,882.64,961.46
Espresso,171.0,253.68,252.71999999999997,358.02,105.3,273.28000000000003,230.2,451.59999999999997,185.14,63.17999999999999,252.71999999999997,217.44
Hot Chocolate,506.02000000000004,196.92000000000002,929.76,1144.32,536.4,361.02,528.0799999999999,1676.48,529.36,1323.12,2074.08,366.9
Latte,1193.1200000000001,1903.56,1680.7199999999998,1931.04,1466.1599999999999,1857.52,1886.0,3912.82,2198.0,2431.68,4291.2,3114.48
